id,title,content,user_id,created_at,updated_at,tags
97,,"It Wasn't Just Like a Movie; I didn't get what I wanted
The Rain Didn't Soak Through My Clothes; perhaps it is what I deserved, perhaps I should've done more  
Down to My Skin; I need to live with it though, know that everything that was decided was decided for good reason
",1,2022-04-22T22:35:00.000Z,2022-04-22T22:35:00.000Z,thoughts
98,,I am officially balding what the FUCK,1,2022-04-23T01:14:00.000Z,2022-04-23T01:14:00.000Z,moments
99,,人生何处不相逢,1,2022-04-23T02:13:29.168Z,2022-04-23T02:13:29.168Z,thoughts
100,,深夜破防,1,2022-04-23T05:14:59.892Z,2022-04-23T05:14:59.892Z,moments
101,,"Lanterns burning. Flickered in the night for only you. In losing grip, on sinking ships, you showed up just in time...",1,2022-05-05T09:52:00.000Z,2022-05-05T09:52:00.000Z,lyrics
102,,在这个星球外的九个地方留下传说,1,2022-05-05T11:18:00.000Z,2022-05-05T11:18:00.000Z,thoughts
103,,当我，寂寞：默念这世界不会丢下我,1,2022-05-11T14:10:00.000Z,2022-05-11T14:10:00.000Z,thoughts
104,,"I’m NOT a shoulder to cry on, but I digress.  I’m NOT a leading man.   The lies I weave are NOT so intricate.",1,2022-05-12T05:47:03.015Z,2022-05-12T05:47:03.015Z,thoughts
105,,"""I kinda enjoy looking that ugly everyday in high school, it was like a power trip""",1,2022-05-14T23:09:00.000Z,2022-05-14T23:09:00.000Z,quotes
106,,"Necromancer Dreadreapers & Deathbringers, Harbinger of Dawn, Memories of Doom",1,2022-05-21T12:21:00.000Z,2022-05-21T12:21:00.000Z,moments
107,,I hope you are practicing acceptance. I hope you are seeking happiness.,1,2022-06-07T21:05:06.933Z,2022-06-07T21:05:06.933Z,thoughts
108,,"I'm still wondering, if we turned the corner, if I had waited, if we'd been able to grin and bear it.

Would we be home by now?",1,2022-06-14T01:18:00.000Z,2022-06-14T01:18:00.000Z,lyrics
109,,"No Roof Access  

Floors BB through R  

Exit discharge Level C  

Only exit is down",1,2022-06-15T04:44:00.000Z,2022-06-15T04:44:00.000Z,moments
110,,是非进退难断 不断亦难 愿生有去处 苍有归途 但保持飞扬,1,2022-06-28T01:01:30.874Z,2022-06-28T01:01:30.874Z,lyrics
111,,Why does every day involve a fight with an American?,1,2022-07-11T18:38:00.000Z,2022-07-11T18:38:00.000Z,quotes
112,,"My Happy Ending  

不可承受之痛  

致明日之舞  
",1,2022-07-17T13:21:00.000Z,2022-07-17T13:21:00.000Z,thoughts
113,,"I get ready I get all dressed up  

To go no where in particular  

Doesn't matter if I'm not enough  

For the future or the things to come  ",1,2022-07-23T07:56:00.000Z,2022-07-23T07:56:00.000Z,lyrics
114,,within cells interlinked within cells interlinked within cells interlinked,1,2022-08-01T03:26:00.000Z,2022-08-01T03:26:00.000Z,quotes
115,,"她的茉莉花我还在喝着

她听的歌我还在唱着呢",1,2022-08-08T01:05:00.000Z,2022-08-08T01:05:00.000Z,lyrics
116,,white arrows will break the black night,1,2022-08-12T21:58:02.304Z,2022-08-12T21:58:02.304Z,lyrics
117,,一个人就一个人,1,2022-08-15T07:14:00.000Z,2022-08-15T07:14:00.000Z,audio
118,,"我仍稳稳当当行进在当年的航线，  
明月已升至中天，  
但当年的耳语者还不曾离开，  
还只对我一个人透露唯一的秘密    

我仍像当年的少年，  
但已是能接受你所有改变，  
已是能控制我所有泪点  ",1,2022-09-02T16:33:00.000Z,2022-09-02T16:33:00.000Z,thoughts
119,,世界... 遗忘我...,1,2022-09-09T02:37:43.042Z,2022-09-09T02:37:43.042Z,quotes
120,,cannot believe that I'm now that kid who wakes up too late for breakfast for an entire week,1,2022-09-09T14:11:00.000Z,2022-09-09T14:11:00.000Z,moments
121,,为什么别人的爱情看上去总是那么轻而易举,1,2022-09-14T13:26:00.000Z,2022-09-14T13:26:00.000Z,thoughts
122,,"So long, and good night!",1,2022-10-02T19:05:00.000Z,2022-10-02T19:05:00.000Z,quotes
123,,All the haters try to thwart my efforts at self reinvention,1,2022-10-09T17:27:00.000Z,2022-10-09T17:27:00.000Z,thoughts
